Sample,,,,,,,[757] glycolic acid [7.049] Results,[5950] L-alanine 1 [7.4748] Results,[C8] Methyl Caprylate [7.812] Results,[971] oxalic acid [7.883] Results,[C9] Methyl Pelargonate [9.248] Results,[1004] phosphoric acid [9.966] Results,[750] glycine [10.456] Results,[C10] Methyl Caprate [10.647] Results,[439194] glyceric acid [10.735] Results,[5951] L-serine 2 [11.174] Results,[5950] L-alanine 2 [11.182] Results,[439742] beta-cyano-L-alanine [11.288] Results,[6288] L-threonine 2 [11.464] Results,[239] Beta- alanine  1 [12.044] Results,[92824] D-malic acid [12.794] Results,"[649] 5,6-dihydrouracil 2 [12.773] Results",[338] salicylic acid [13.075] Results,[C12] Methyl Laurate [13.250] Results,[5960] aspartic acid 2 [13.207] Results,[7405] L-pyroglutamic acid [13.218] Results,[119] gamma-aminobutyric acid (GABA) [13.326] Results,[5460407] threonic acid [13.652] Results,[51] alpha ketoglutaric acid [13.859] Results,[236] L-asparagine 1 [14.496] Results,[33032] L-glutamic acid 2 [14.398] Results,[135] 4-hydroxybenzoic acid [14.505] Results,"[428] 1,3-diaminopropane 1 [14.708] Results",[236] L-asparagine 2 [14.984] Results,[C14] Methyl Myristate [15.597] Results,[827] ribitol [15.66] Results,[754] glycerol 1-phosphate [16.056] Results,[738] L-glutamine 3 [16.092] Results,[8742] shikimic acid [16.433] Results,[311] citric acid [16.615] Results,[835] dehydroascorbic acid  1 [16.863] Results,[94214] methyl-beta-D-galactopyranoside   [16.935] Results,[6508] quinic acid [17.076] Results,[5984] fructose 1 [17.288] Results,[5984] fructose 2 [17.288] Results,[C16] Methyl Palmitate [17.723] Results,[24749] D-glucose 1 [17.426] Results,[5962] L-lysine 2 [17.643] Results,[24749] D-glucose 2 [17.625] Results,[6057] tyrosine 2 [17.871] Results,[5780] D-sorbitol [17.898] Results,[128869] galactonic acid 2 [18.504] Results,[985] palmitic acid [18.846] Results,[445858] ferulic acid [19.312] Results,[439184] ribulose-5-phosphate 3 [19.603] Results,[892] myo-inositol [19.354] Results,[5281] stearic acid [20.675] Results,[C20] Methyl Eicosanoate [21.441] Results,[439958] D-glucose-6-phosphate 2 [21.558] Results,[C22] Methyl Docosanoate [23.082] Results,[60961] adenosine [23.825] Results,[5988] Sucrose [23.988] Results,[C24] Methyl Linocerate [24.603] Results,[7427] D-(+) trehalose [24.752] Results,[6255] maltose  2 [24.915] Results,[C26] Methyl Hexacosanoate [26.023] Results,[439451] galactinol 2 [26.479] Results,[C28] Methyl Octacosanoate [27.349] Results,[C30] Methyl Triacontanoate [28.723] Results
,!,S5A19,251124_059.D,Sample,,11/26/2025 5:48 AM,276,4412,860,29819,890,290538,3610,1449,543,3641,7512,482,984,183,13618,20685,207,2192,4404,20624,212,500,80,1408,2846,139,352,2905,2987,1631,598,285,483,6094,532,560,971,984,1130,3294,1195,408,270,1032,1004,273,1998,131,1484,6185,1031,1528,447,1616,651,1814441,1587,968,934,800,353,449,180
,!,S5A32,251124_060.D,Sample,,11/26/2025 6:18 AM,162,7805,584,25059,1119,109895,1400,1504,739,6851,7842,420,509,223,25085,12688,205,2251,2645,13985,147,524,313,797,2093,105,258,2717,2616,2108,421,155,388,25691,67,641,314,2957,1935,310,10825,650,1282,704,918,264,1710,131,1264,3357,1092,2110,212,1873,857,1403659,1630,1645,1650,988,4927,529,286
,!,S4B7,251124_061.D,Sample,,11/26/2025 6:47 AM,49,1385,1125,20620,964,130381,1241,1715,510,3099,3381,412,535,113,12642,18290,169,2172,5046,11481,371,366,323,913,1071,124,722,1923,2545,1105,583,133,293,4194,169,401,747,1735,1194,2931,1981,156,445,318,806,398,1701,147,1307,5098,1262,1615,99,1932,631,1301795,1978,1196,1226,1011,155,520,201
,!,S5A4,251124_062.D,Sample,,11/26/2025 7:16 AM,470,784,1309,33934,1070,162605,955,2048,605,2037,7690,205,358,288,21181,9167,172,2701,3447,20691,345,500,326,689,2034,415,210,2159,3657,1957,737,142,604,6159,995,644,1220,1743,1740,5626,6555,318,1180,572,1053,557,3100,195,1644,6354,1987,2452,204,2556,771,1316240,2614,1598,303,1328,339,903,482
,!,S4B23,251124_063.D,Sample,,11/26/2025 7:46 AM,112,1492,993,23946,262,46900,1294,1933,366,3338,3079,408,718,154,14131,11473,157,2564,4399,10253,289,453,414,920,1176,129,405,2176,2937,1657,646,218,386,5586,259,442,820,743,597,3235,861,149,384,347,827,362,2164,70,1050,5340,1106,2026,151,2018,467,920092,1312,941,184,774,329,351,157
,!,S4B10,251124_064.D,Sample,,11/26/2025 8:15 AM,129,2280,1072,24691,1112,74302,1914,1797,786,3148,3049,744,585,276,22476,22913,113,2710,6125,11527,419,298,446,1745,1365,227,363,3688,2283,1652,581,200,732,4429,395,494,1818,945,1001,3456,3530,283,495,221,1638,363,2502,109,1081,5986,1313,1621,179,1795,575,1368567,2095,1027,203,1177,605,568,339
,!,S5A11,251124_065.D,Sample,,11/26/2025 8:45 AM,154,1911,925,24199,797,271963,1328,1931,651,3033,2617,542,711,126,17564,18933,258,2015,9960,15121,286,427,186,1282,1559,95,427,4725,2283,1669,763,606,570,3076,62,453,1291,954,637,3153,2157,267,404,270,793,402,1417,98,1181,5335,721,1787,266,1845,810,1383173,1399,982,993,852,616,504,212
,!,S4B1,251124_066.D,Sample,,11/26/2025 9:14 AM,527,,1252,22377,744,86015,570,1859,485,859,1065,42,342,136,4183,8982,177,2154,6251,19686,294,305,151,542,1104,515,394,1297,3075,1453,660,56,798,2826,949,507,1626,1194,921,5052,5159,295,837,511,772,252,4096,267,1378,5889,2353,2391,436,3025,689,721380,2331,1618,374,2028,293,950,410
,!,S4B31,251124_067.D,Sample,,11/26/2025 9:43 AM,81,4438,553,24616,1062,77643,3532,1465,343,4484,5049,148,523,307,14473,3070,147,1845,2334,14320,297,141,412,275,2069,121,322,672,2727,1844,355,149,167,9398,34,477,305,1641,1244,3113,3742,246,669,804,553,315,1904,113,973,4644,1433,1699,143,1788,558,1755073,2058,645,162,665,1639,630,117
,!,S5A36,251124_068.D,Sample,,11/26/2025 10:13 AM,509,340,1312,12144,581,110222,692,784,548,1353,1152,253,451,129,8739,16853,123,1698,4065,19203,170,384,195,748,1406,397,303,3889,2113,1715,805,379,943,2952,654,710,2501,1616,1275,3254,5576,495,818,355,866,700,2578,268,1477,6132,2046,2303,277,2337,850,1367183,2503,1751,1736,1881,1651,707,323
,!,S4B5,251124_069.D,Sample,,11/26/2025 10:42 AM,101,3134,967,1172,1198,115434,138800,1657,338,2548,5039,351,476,132,8171,6400,100,1987,1729,8895,199,376,266,581,1038,138,358,795,2333,1412,453,184,212,4220,126,355,395,1525,994,4144,1984,269,294,546,690,254,2925,146,1240,4824,1507,1735,191,1841,456,760584,1466,393,137,812,393,439,204
,!,S5A14,251124_070.D,Sample,,11/26/2025 11:12 AM,448,162,1275,15965,1221,52356,790,2240,865,1214,1301,209,494,131,3770,16151,194,2886,6104,22741,219,310,167,791,1660,409,250,2838,3940,1594,695,69,769,2654,987,478,1415,829,859,4537,5041,346,801,339,490,244,3246,164,1010,4326,1786,2386,496,2903,437,721245,2211,895,891,1484,182,676,271
,!,S4B21,251124_071.D,Sample,,11/26/2025 11:41 AM,81,3064,955,28247,1297,78118,2308,1450,497,4081,4072,594,756,136,11209,22190,95,1829,5179,20341,135,290,181,1358,2591,129,408,2940,2527,1416,761,174,369,4714,112,552,660,1309,1023,3687,2013,402,276,801,771,302,1760,145,1319,5964,1768,1690,266,1626,681,1786466,1691,1173,187,832,413,472,151
,!,S4B38,251124_072.D,Sample,,11/26/2025 12:10 PM,449,,1540,11071,492,137646,1704,735,507,1610,2200,258,588,207,7075,15237,197,2231,3797,32163,631,296,142,1031,2716,399,300,3335,2637,1661,852,332,1416,3900,781,627,2620,1795,1226,4848,10854,497,1215,411,814,392,3435,178,1656,7435,1877,2731,573,2847,667,1808019,3181,3951,820,1644,322,1434,672
,!,S5A8,251124_073.D,Sample,,11/26/2025 12:40 PM,71,3305,654,24474,1437,36648,948,1556,289,1934,5861,84,367,81,7267,6284,154,2503,3400,13003,84,352,160,699,1555,41,243,1144,2717,1320,323,73,116,3524,172,330,210,1006,576,3569,1060,206,267,408,695,195,1364,71,1031,4602,1197,1548,169,1793,640,231370,1191,755,761,976,151,650,322
,!,S4B17,251124_074.D,Sample,,11/26/2025 1:09 PM,383,292,1472,24006,995,74295,1086,1867,523,1326,2680,169,271,123,9169,5196,152,2228,3212,17972,221,309,153,310,1358,234,331,689,3446,2196,602,61,1017,6092,204,360,1729,921,802,4311,6688,438,862,623,785,388,7023,138,1791,7432,3056,2481,336,2193,688,1145291,2173,1153,253,1251,364,721,258
,!,S5A2,251124_075.D,Sample,,11/26/2025 1:39 PM,75,1324,1058,13107,1030,9994,1233,1066,225,897,2351,200,250,45,3406,4300,129,1696,1601,3902,66,219,101,269,463,118,121,668,2778,922,406,30,239,1277,85,283,229,267,363,3882,508,176,127,109,321,150,1373,68,672,655,782,1715,118,1589,298,260334,1214,561,87,885,126,537,276
,!,S4B35,251124_076.D,Sample,,11/26/2025 2:08 PM,503,430,1743,38732,1383,307566,807,2355,602,145,2398,75,51,66,13221,4513,135,2250,3877,15396,341,283,327,596,872,444,246,1280,3495,1875,753,45,864,1976,880,871,1450,2236,1632,4597,8286,289,1127,363,1223,339,3024,184,1350,5660,1729,2596,85,3140,842,1418413,2313,1083,271,1661,255,756,328
,!,S5A16,251124_077.D,Sample,,11/26/2025 2:37 PM,,1892,1006,15166,735,29745,993,1369,299,1573,3312,450,506,118,7021,9545,75,1833,6195,10783,151,427,109,581,1335,162,301,1108,2127,1189,537,92,405,2804,286,438,1006,512,487,2624,1131,220,496,309,467,279,1744,80,1293,5241,914,1800,171,1454,450,1379280,1511,743,130,921,194,668,117
,!,S4B15,251124_078.D,Sample,,11/26/2025 3:07 PM,,833,1315,21156,1022,68430,798,2022,416,2074,4521,276,438,146,6684,16674,79,2089,4096,20125,246,239,209,1132,1325,285,512,1930,3320,1288,751,66,647,5502,529,429,711,1126,588,4331,4536,269,594,399,1088,199,3496,173,1423,4720,1736,2678,117,2556,635,467161,1976,977,221,1282,316,519,482
,!,S4B36,251124_079.D,Sample,,11/26/2025 3:36 PM,66,760,584,30645,962,258898,538,1839,348,2204,2011,234,495,71,9860,10274,155,2094,4914,8875,307,227,518,782,567,84,390,790,2522,1126,491,57,372,1830,93,699,1295,695,564,3009,1483,186,219,252,908,211,1815,80,898,4109,980,1700,122,1898,526,757412,1710,665,86,993,478,331,244
,!,S4B28,251124_080.D,Sample,,11/26/2025 4:05 PM,139,955,1026,15725,696,68363,798,1526,961,2969,7092,120,446,121,15829,7720,237,2630,3477,37733,407,427,391,589,1641,411,285,1202,2987,1634,598,140,636,32613,791,678,647,1729,1049,4453,8863,472,1324,787,861,278,5285,309,1443,5033,3273,2909,173,2619,767,744981,2644,1470,1499,1669,3537,761,361
